X_05%,X_68%,X_95%,Template
10166,16362,16613,4
10015,16159,16325,4
9982,16157,16413,4
10103,16394,16596,4
10428,15959,16840,4
9799,13737,14445,4
9616,14397,15415,4
9815,16042,16572,4
9968,16479,17285,4
10259,17131,17749,4
10484,15888,16420,4
10069,15480,15822,4
9998,13688,14468,4
9680,13272,14547,4
9658,15768,16820,4
9993,16132,16974,4
10086,15934,17103,4
10370,16477,17193,4
10097,15394,15963,4
10281,13925,14957,4
9924,13649,15524,4
10144,16001,17264,4
10529,16353,17623,4
10576,16534,17386,4
10151,16058,17152,4
10250,16469,16776,4
10142,14136,15222,4
10144,13854,15827,4
9986,16150,17459,4
10480,16149,17505,4
10614,16082,17404,4
10656,16130,17524,4
10877,15860,16457,4
10361,15294,15912,4
10053,14006,16332,4
10403,15931,17714,4
10623,15856,16722,4
10192,15881,17631,4
10206,16213,17924,4
10985,16099,17515,4
11095,14810,16343,4
10908,14202,16719,4
10805,16247,17987,4
10836,16107,17829,4
10335,16385,17896,4
10260,15962,17429,4
10112,15347,16630,4
10085,13979,15507,4
9618,14661,16216,4
9871,16427,17964,4
10376,16103,17658,4
10213,15928,17680,4
10214,16437,17989,4
10467,16124,16847,4
10027,14162,15932,4
10122,14348,16669,4
10426,16459,18599,4
11404,16771,18537,4
11519,17024,18089,4
10544,14173,15880,4
10207,14338,16073,4
10474,14356,16058,4
10490,13943,16663,4
10292,16044,18267,4
10506,16616,18738,4
10747,16442,18413,4
10398,16167,18190,4
10313,16532,17699,4
10125,14579,16982,4
10942,14475,17700,4
10919,17216,20016,4
12209,17662,20211,4
12635,17770,19729,4
11356,16422,18929,4
12102,18483,20425,4
12479,16530,18293,4
11625,14886,17968,4
11279,17116,19661,4
11620,17032,19628,4
11374,16990,19104,4
10933,16398,18755,4
10949,16638,18258,4
10860,15140,17267,4
10984,14841,17567,4
10575,16679,19286,4
11403,16929,19873,4
12180,17634,19795,4
11735,17282,19301,4
11782,17066,18582,4
10856,15584,17132,4
10380,14802,16098,4
10671,14410,15430,4
10416,16253,18086,4
10854,16652,19002,4
11679,16650,18782,4
11538,16693,18610,4
11879,16420,17782,4
11566,14944,17513,4
11152,15519,17161,4
10496,16479,19043,4
11806,16952,18846,4
11228,16470,18489,4
10868,16324,17481,4
10251,14902,16074,4
9941,14060,16775,4
10572,16993,18453,4
11385,16811,18963,4
11922,17372,19785,4
12686,17997,19610,4
12018,16885,17761,4
10910,15521,16730,4
10829,15780,17133,4
11186,17749,18875,4
11324,17563,19892,4
13451,18909,20677,4
13800,18718,19794,4
12242,17357,18584,4
12121,16818,18760,4
13254,16771,19111,4
12704,18591,20309,4
12896,18044,19744,4
12758,17780,19401,4
12624,18031,20107,4
14427,19710,21027,4
14436,17741,18744,4
12500,15790,17931,4
12459,18237,20252,4
13632,18474,19872,4
13140,18178,19720,4
13204,18171,19370,4
12619,17827,18630,4
12018,16140,17683,4
12676,16435,18684,4
13586,19365,21235,4
14348,19058,20373,4
14124,19009,20426,4
14056,18891,20234,4
