X_05%,X_68%,X_95%,Template
11881,17449,18979,1
10989,17107,18619,1
12050,16407,17931,1
12360,16514,18395,1
12744,18455,20803,1
14195,19897,22006,1
15063,20202,21412,1
13544,18593,20720,1
14138,19873,21273,1
15134,19198,20837,1
13814,18225,20563,1
14671,19534,21177,1
13933,18909,20587,1
13462,19495,21177,1
14135,19493,21520,1
15064,20012,20555,1
14476,17685,18535,1
12685,15909,18404,1
12751,18313,20224,1
13587,18732,19887,1
13423,18518,19771,1
13079,18142,19538,1
12324,17499,18334,1
12060,15196,16682,1
11468,14845,16720,1
11647,17068,18702,1
11830,17137,18634,1
11616,16751,18369,1
11422,17745,19290,1
12368,17561,18745,1
12283,16115,17281,1
11725,15146,17675,1
12234,17817,19363,1
11783,16558,18315,1
11531,16685,18591,1
11829,17186,18960,1
12394,17671,19161,1
13235,16528,17614,1
12611,15668,17538,1
12404,18018,19310,1
12419,17483,18567,1
12167,17138,19047,1
12940,17843,19627,1
13030,17727,18759,1
12936,16090,17385,1
12331,15517,17929,1
12540,17932,19745,1
12580,17949,19005,1
12408,17445,19092,1
12858,17997,19672,1
13257,17709,18252,1
12743,15693,16898,1
11808,15050,17413,1
11462,16667,18447,1
11334,17619,19986,1
13608,18675,20178,1
13675,18154,19455,1
13228,17928,18884,1
12024,16320,17202,1
11860,14999,17091,1
12086,17194,18597,1
12213,16974,18332,1
12041,16841,18174,1
12079,16862,17979,1
11959,16497,17169,1
11652,14826,15780,1
11306,14559,16552,1
11065,16703,18227,1
11730,16333,17499,1
11295,16698,18601,1
11870,17168,17886,1
11687,15851,16715,1
11345,14972,16045,1
10990,13886,15268,1
10743,17584,18405,1
11232,16727,17713,1
11109,16044,17293,1
11002,15924,17277,1
10778,15864,16299,1
10503,15637,16162,1
10235,14244,15836,1
10584,16252,17024,1
10939,15789,16426,1
10408,15668,16316,1
10167,15706,16385,1
10219,15419,15904,1
10133,13451,14383,1
9974,13321,15018,1
9792,15562,16465,1
10674,15869,16609,1
10758,15802,16110,1
10578,15626,16222,1
10599,15503,15946,1
10487,13617,14232,1
9937,12965,14343,1
9710,15292,15768,1
10103,15566,15955,1
9988,16281,16640,1
10177,15270,15645,1
10170,15095,15577,1
9896,14514,14870,1
9648,13627,14733,1
9900,15619,16381,1
10467,15508,15980,1
10043,16347,16466,1
10226,15663,16181,1
10480,15281,15826,1
9846,14503,14714,1
9613,13619,14812,1
9910,15612,16200,1
10258,15470,16049,1
10234,15417,16060,1
10357,15434,15784,1
10235,15217,15736,1
10030,14481,14983,1
9961,13567,14682,1
9878,15608,16127,1
10021,15786,16025,1
9961,16143,16360,1
10046,15568,15946,1
10129,15026,15659,1
9710,13627,14089,1
9396,13653,14302,1
9655,15796,16138,1
9985,15574,15915,1
9984,15594,15810,1
9963,15584,15854,1
9953,15214,15789,1
9783,13634,14094,1
9591,13657,14418,1
9731,16037,16205,1
10148,16370,16534,1
10450,16567,16710,1
10403,16187,16446,1
10236,15481,16040,1
9787,13679,14076,1
9392,13196,13610,1
9310,13820,14542,1
9561,16162,16487,1
10043,16185,16395,1
10068,16348,16688,1
10127,16577,17014,1
10190,15584,15840,1
10183,16939,17723,1
11129,18009,18613,1
11226,19874,20989,1
11837,20771,22202,1
12536,21171,22142,1
12688,20721,21799,1
12468,20277,21059,1
12531,20529,20866,1
13732,23830,25143,1
14593,21572,22910,1
11814,16669,17195,1
10505,16463,16750,1
10498,16746,17199,1
10248,14541,15082,1
9801,13834,14451,1
9965,17667,18040,1
10604,18968,19840,1
11471,18294,18619,1
10648,17397,18110,1
10846,19200,20322,1
11820,20701,21945,1
12701,21191,22393,1
13686,23453,24352,1
14216,21679,22112,1
13652,21553,23558,1
13317,20880,21715,1
12464,19599,20037,1
12062,17259,17371,1
10252,15393,15694,1
10286,15774,16428,1
10763,20285,21568,1
13133,19396,20108,1
11320,17206,17521,1
10842,16613,17411,1
10222,15492,15828,1
10367,17488,18757,1
12471,22817,24129,1
13313,20382,21742,1
12135,19403,19831,1
12485,21515,22575,1
13674,22642,23578,1
13228,20071,20692,1
13084,19489,19902,1
14144,23051,24249,1
14925,24458,26736,1
14945,24070,24983,1
13901,23076,24126,1
13669,23520,24888,1
13280,18817,18929,1
11141,17540,18219,1
12540,21567,22757,1
13779,24052,25480,1
15632,25745,26885,1
13726,19498,19868,1
11752,19590,20380,1
12354,17784,18241,1
11619,16528,16969,1
11825,20496,21406,1
12835,23130,24268,1
13834,23556,24695,1
13981,23030,24468,1
14544,23607,25983,1
12987,18546,19161,1
11758,18775,19531,1
13076,23115,24348,1
14653,22350,23352,1
13722,23774,24738,1
14531,23900,25276,1
14198,22955,24205,1
14578,23154,24025,1
14849,20585,22688,1
13457,19043,19784,1
11668,19079,19522,1
12028,20019,21062,1
11818,18314,19083,1
11458,18133,18990,1
11567,17562,17952,1
12290,20034,20971,1
12899,20717,21990,1
11882,18846,19799,1
11785,18049,18766,1
11068,18368,18947,1
11276,18583,19682,1
11326,17517,17781,1
11591,17806,18757,1
13002,22172,22983,1
13923,21024,21199,1
13781,22468,22697,1
13485,20618,21757,1
11982,19832,21046,1
11588,16676,16909,1
10710,15681,15842,1
10387,15506,16530,1
10375,18049,18644,1
11011,18651,19379,1
11153,19313,20069,1
11760,18037,18265,1
10567,15084,15396,1
9846,14447,15925,1
10546,20103,21348,1
12381,21148,22168,1
12591,21621,22399,1
13621,20636,20833,1
12973,18783,19274,1
11524,16915,17245,1
10842,15844,17177,1
10632,18785,19318,1
11296,18893,19614,1
11304,18398,18971,1
10968,18873,19347,1
11657,18573,19211,1
10412,14428,15126,1
9604,13962,15353,1
10311,17723,18592,1
11302,17159,17590,1
10179,16553,16724,1
10355,16837,17457,1
10092,15629,16150,1
9906,14107,15117,1
9564,14125,16090,1
9900,17022,17492,1
10556,17332,17753,1
10570,17748,18549,1
10927,18032,18773,1
11375,18537,18970,1
11609,16978,17543,1
10126,14111,15360,1
9889,15949,17094,1
10062,16526,17593,1
10322,16497,17482,1
10382,16588,17589,1
10408,16512,17199,1
10489,15236,15823,1
9959,14181,15965,1
10088,15987,17393,1
10357,16523,17498,1
10351,16119,17358,1
10239,15880,17250,1
10440,15858,16400,1
10355,15094,15766,1
10068,14584,16275,1
10338,16550,18200,1
10739,17088,18508,1
10954,16538,18013,1
11045,16485,18000,1
10952,16421,17360,1
10926,15336,16468,1
10605,13968,16145,1
10256,15972,17427,1
10410,16122,18022,1
10314,16083,17912,1
10720,16239,17772,1
10309,15830,16898,1
9962,14273,15788,1
9658,14134,16410,1
9891,15903,18148,1
10399,15940,17881,1
10558,16274,18559,1
10527,16233,18067,1
11142,16218,17769,1
11388,14941,16337,1
10564,13809,16383,1
10051,16043,17783,1
10567,16726,18562,1
10568,16466,18368,1
10435,16180,18427,1
