X_05%,X_68%,X_95%,Template
11153,19584,26231,3
11760,22470,26480,3
10626,19079,22043,3
9846,14383,15892,3
10546,20614,21348,3
12381,24735,32668,3
12591,22250,26287,3
13621,20788,26998,3
12798,18929,20080,3
11758,16904,16986,3
10842,18027,21910,3
10632,23295,27020,3
11296,20087,26473,3
11509,18971,24791,3
10968,18695,19339,3
11657,18314,19211,3
10412,15746,20649,3
10060,14269,15749,3
10311,20750,25663,3
11302,17590,22935,3
10179,19237,24642,3
10355,16837,17457,3
10186,15652,16150,3
10357,15149,20312,3
9564,14125,21285,3
9900,17107,20906,3
10556,19713,23763,3
10570,17748,18195,3
10927,18205,23432,3
11375,18383,18963,3
11609,18908,24279,3
10429,14181,15360,3
9889,20290,23189,3
10062,16526,18419,3
10322,16554,22568,3
10382,18713,23986,3
11243,18875,22385,3
10489,15257,21426,3
9959,15965,19543,3
10088,15987,17393,3
10357,17658,21279,3
10277,16161,18921,3
10239,18416,21170,3
10440,16080,18107,3
10355,14989,21563,3
10068,18493,23936,3
10355,17875,24432,3
10739,19975,25273,3
11262,16792,18896,3
11045,16470,17804,3
10952,16421,16951,3
10926,15301,16087,3
10605,14971,16539,3
10256,16044,21230,3
10410,20272,23216,3
10314,16083,17912,3
10720,16239,22721,3
10309,17279,23134,3
9962,17671,20913,3
9735,17944,20450,3
9891,16661,19338,3
10399,17446,19756,3
10558,17775,23056,3
10527,19670,24573,3
11142,16303,21367,3
11388,14941,19595,3
11053,14878,16210,3
10051,17783,23114,3
10567,18940,24021,3
10568,16609,18826,3
10435,18705,23157,3
11501,16842,18254,3
12483,17807,19280,3
11094,16595,18417,3
10721,16878,20205,3
11392,22458,26074,3
11586,17937,25556,3
11620,15965,20084,3
11563,15987,17804,3
12332,17664,19340,3
11370,19805,21978,3
10933,16973,18976,3
10782,23246,25783,3
10468,17730,23218,3
10838,16575,25017,3
11148,16893,21611,3
11985,16364,18338,3
12131,16817,18894,3
12190,19567,24970,3
12327,20378,24156,3
12721,19668,21100,3
13458,18660,29807,3
12885,19013,20322,3
12389,16290,18085,3
11883,19224,22408,3
12023,20518,24061,3
13031,21171,28172,3
14085,21726,28228,3
14281,23403,27415,3
13004,24010,26580,3
13336,20484,24019,3
12288,16078,22190,3
12484,18373,21159,3
13266,22062,26950,3
13939,20609,26296,3
13255,24826,27366,3
12868,20167,24551,3
11177,15340,18991,3
10943,16293,19885,3
10293,15680,17636,3
11945,17086,19317,3
12178,17229,18967,3
11182,17052,18350,3
10862,19964,23227,3
11940,19190,23632,3
12538,18274,21563,3
11449,19382,22350,3
11712,18242,20258,3
12419,19237,24549,3
12141,18012,22834,3
11870,21194,24409,3
12256,16290,18111,3
12226,19353,24213,3
11863,20841,23057,3
11639,19766,23346,3
11836,17105,18756,3
11081,18201,24087,3
11330,16758,17908,3
10620,17396,21285,3
11146,16978,26519,3
13807,19241,27237,3
13421,22234,26075,3
11975,17152,18616,3
11856,17111,18625,3
11792,16524,17373,3
11413,16410,19925,3
11328,15668,17953,3
11638,18383,27325,3
12013,18531,23567,3
