SystemLoad,Date,Hour
12818,2004-01-19,4
13158,2004-01-19,5
21184,2004-01-19,6
23415,2004-01-19,7
25164,2004-01-19,8
26256,2004-01-19,9
27067,2004-01-19,10
27667,2004-01-19,11
27678,2004-01-19,12
27549,2004-01-19,13
27090,2004-01-19,14
17940,2004-01-19,15
17972,2004-01-19,16
18922,2004-01-19,17
20596,2004-01-19,18
20698,2004-01-19,19
20372,2004-01-19,20
19598,2004-01-19,21
18346,2004-01-19,22
16820,2004-01-19,23
15393,2004-01-19,24
14429,2004-01-20,1
13980,2004-01-20,2
13858,2004-01-20,3
20802,2004-01-20,4
21295,2004-01-20,5
23097,2004-01-20,6
26445,2004-01-20,7
28462,2004-01-20,8
19187,2004-01-20,9
19008,2004-01-20,10
19047,2004-01-20,11
18794,2004-01-20,12
18720,2004-01-20,13
18505,2004-01-20,14
18286,2004-01-20,15
18334,2004-01-20,16
19187,2004-01-20,17
20895,2004-01-20,18
21050,2004-01-20,19
20670,2004-01-20,20
19974,2004-01-20,21
18742,2004-01-20,22
17199,2004-01-20,23
15665,2004-01-20,24
14743,2004-01-21,1
14300,2004-01-21,2
14075,2004-01-21,3
14139,2004-01-21,4
14414,2004-01-21,5
15627,2004-01-21,6
17921,2004-01-21,7
19135,2004-01-21,8
28831,2004-01-21,9
28693,2004-01-21,10
28537,2004-01-21,11
18742,2004-01-21,12
18410,2004-01-21,13
18176,2004-01-21,14
17901,2004-01-21,15
17912,2004-01-21,16
18767,2004-01-21,17
20423,2004-01-21,18
20570,2004-01-21,19
20191,2004-01-21,20
19516,2004-01-21,21
18407,2004-01-21,22
16780,2004-01-21,23
15374,2004-01-21,24
14493,2004-01-22,1
14061,2004-01-22,2
13840,2004-01-22,3
13744,2004-01-22,4
14016,2004-01-22,5
15187,2004-01-22,6
17433,2004-01-22,7
28240,2004-01-22,8
28461,2004-01-22,9
28432,2004-01-22,10
19003,2004-01-22,11
18827,2004-01-22,12
18509,2004-01-22,13
18248,2004-01-22,14
17924,2004-01-22,15
17927,2004-01-22,16
18682,2004-01-22,17
20055,2004-01-22,18
20057,2004-01-22,19
19663,2004-01-22,20
19045,2004-01-22,21
17935,2004-01-22,22
16362,2004-01-22,23
14977,2004-01-22,24
14177,2004-01-23,1
13809,2004-01-23,2
13674,2004-01-23,3
13712,2004-01-23,4
21100,2004-01-23,5
22933,2004-01-23,6
26458,2004-01-23,7
18973,2004-01-23,8
19181,2004-01-23,9
19219,2004-01-23,10
19244,2004-01-23,11
19138,2004-01-23,12
18909,2004-01-23,13
18747,2004-01-23,14
18524,2004-01-23,15
18571,2004-01-23,16
19249,2004-01-23,17
20666,2004-01-23,18
20655,2004-01-23,19
20148,2004-01-23,20
19539,2004-01-23,21
18665,2004-01-23,22
17424,2004-01-23,23
16095,2004-01-23,24
15163,2004-01-24,1
14662,2004-01-24,2
14415,2004-01-24,3
14302,2004-01-24,4
14378,2004-01-24,5
14805,2004-01-24,6
15665,2004-01-24,7
16614,2004-01-24,8
17774,2004-01-24,9
18511,2004-01-24,10
27999,2004-01-24,11
