X_05%,X_68%,X_95%,Template
13544,54627,82160,2
14266,29592,63812,2
15498,30268,58089,2
13814,18212,27337,2
14715,19847,29342,2
13930,18909,21399,2
13473,63626,97150,2
14135,36062,67683,2
15064,33120,70609,2
14476,18102,32386,2
12685,15908,18085,2
12751,19143,36274,2
13587,18477,19563,2
13423,18746,25515,2
13079,18103,19388,2
12324,33496,61246,2
12060,15724,18945,2
11468,14961,21814,2
11647,60011,80485,2
11830,17103,18402,2
11820,17922,33352,2
11468,35012,68420,2
12523,42145,79024,2
12688,38380,70299,2
11725,22719,43329,2
12234,17817,22564,2
11783,16558,24634,2
11531,16671,18421,2
11985,18178,33980,2
12394,17544,18776,2
13235,42282,62372,2
12611,15668,31684,2
12404,18362,44015,2
12419,17483,18567,2
12167,17104,18738,2
13066,56840,90140,2
13030,17678,18317,2
12936,16531,38767,2
12331,17125,37155,2
12623,19032,35354,2
12580,18019,46677,2
12408,19092,40005,2
12858,18041,26100,2
13720,76279,106464,2
12743,31098,50932,2
11808,60945,81614,2
11462,25299,48447,2
11334,26481,58922,2
13608,36056,63826,2
13675,18337,28116,2
13228,44820,69976,2
12024,16773,39752,2
11860,17091,33245,2
11993,18597,42997,2
12366,41415,77170,2
12041,67652,89028,2
12079,18165,46878,2
11959,16474,17045,2
11652,14711,15776,2
11306,57112,79051,2
11065,16703,18114,2
11730,70123,95430,2
11295,16693,18337,2
11870,17080,25924,2
11687,48390,68247,2
11345,14606,15922,2
11344,27672,50300,2
10743,17584,18405,2
11232,16729,24912,2
11109,15837,17093,2
11002,15970,23886,2
10778,16226,39357,2
10503,15671,22921,2
10564,28196,49518,2
10584,18009,48678,2
10969,15991,16426,2
10408,32054,53322,2
10453,23659,47677,2
10219,15310,23527,2
10133,46151,64655,2
10795,14320,24935,2
9792,15562,20529,2
10849,16011,16553,2
10740,15983,30440,2
10578,15729,30934,2
10599,15491,15946,2
10487,13673,19159,2
9937,17061,39558,2
10266,46614,73885,2
10103,54005,78875,2
9988,32770,62828,2
10177,15455,38367,2
10170,22125,46284,2
10847,29604,49997,2
10748,52556,82170,2
9900,15619,16054,2
10467,15480,15818,2
10766,16469,33422,2
10226,15663,16031,2
10480,15281,15772,2
9846,14470,14693,2
9613,13619,14058,2
9910,15643,22282,2
10481,60196,86652,2
10234,15417,15644,2
10357,15434,23503,2
10235,23080,54257,2
10030,14935,35692,2
9961,19942,39315,2
9878,54271,79900,2
10021,15694,15996,2
10258,16360,36790,2
10046,15450,15900,2
10129,15026,15605,2
9770,13645,14565,2
9396,13653,20370,2
9655,38822,63184,2
9985,15691,22803,2
9984,16734,46182,2
9963,15584,15854,2
9953,15205,15720,2
10242,27124,49059,2
9591,13480,13982,2
9725,16057,16596,2
10148,16450,40745,2
10450,16651,41035,2
10403,23008,48906,2
10236,15481,23814,2
9787,13566,14043,2
9392,13337,32272,2
9310,13618,14060,2
9804,41100,69826,2
10043,16185,23932,2
10068,32690,58408,2
10127,16259,17014,2
10190,15819,34475,2
10183,16831,17381,2
11129,44262,74140,2
11226,20776,39714,2
11837,20771,22021,2
12536,21171,44284,2
12688,20721,54492,2
12552,73072,114339,2
13864,83464,118728,2
13732,24128,62042,2
14593,21951,23367,2
12040,75195,101982,2
10505,16415,16689,2
10498,16542,17100,2
11429,29910,51089,2
9801,13821,14425,2
10301,72153,106044,2
10604,18672,19692,2
11471,18494,43062,2
10648,56700,88380,2
10846,19578,39052,2
11930,43140,72020,2
12701,21191,22385,2
13686,22983,24287,2
14216,21553,22081,2
13652,22309,40538,2
13317,21168,26058,2
12464,19355,29905,2
12062,17121,17362,2
10252,15677,26085,2
10297,16428,38777,2
10763,68782,106090,2
12973,19596,27543,2
11320,17039,17521,2
10842,48606,74758,2
10222,15492,15700,2
10483,35538,58639,2
12471,22817,24129,2
13313,21406,34490,2
12135,19794,47692,2
12485,21985,27696,2
13674,21970,34603,2
13228,57735,92349,2
13084,19627,26692,2
14265,23821,28780,2
14925,24458,26648,2
14945,24113,62175,2
13901,22664,24083,2
13669,23514,24888,2
13280,18659,18929,2
11141,35856,65964,2
12540,21567,22757,2
13779,47626,88557,2
15632,26645,43618,2
13726,19193,19852,2
11752,51927,89199,2
12354,35006,63416,2
11619,16528,41315,2
11825,31920,64396,2
12835,34047,71652,2
13834,23237,24695,2
13961,23030,24468,2
14544,24727,44910,2
14343,66587,99346,2
11758,19306,46482,2
14340,61636,98919,2
14653,54982,91916,2
13722,23812,46440,2
14413,34318,75321,2
14198,22524,24080,2
15509,34731,56466,2
14849,20439,53162,2
14032,21085,40818,2
11668,35718,67613,2
12028,20674,50525,2
11818,18314,19083,2
11458,38585,74064,2
11567,17666,33932,2
12290,24660,58542,2
12899,20717,21990,2
11882,19313,27699,2
11670,52620,82705,2
11068,18235,18891,2
11428,49205,79308,2
11326,17386,17769,2
12322,62482,91844,2
13002,26769,64560,2
13923,31762,70199,2
13781,45230,84480,2
13485,20618,21749,2
11982,20072,29748,2
11588,16676,16897,2
10710,28430,55006,2
10387,15482,16457,2
10375,18049,18644,2
10861,18651,19379,2
11309,19990,33516,2
11760,18037,36244,2
10626,58780,82736,2
9846,48100,71795,2
10546,20614,25728,2
12381,21604,24972,2
12591,22195,39917,2
13621,20671,29158,2
12798,46152,76652,2
11524,16904,33830,2
11203,16466,27397,2
10632,55176,86359,2
12367,56964,87040,2
11304,23704,53067,2
10968,18873,19347,2
11657,18835,47185,2
10412,36650,56748,2
9604,20871,45566,2
10311,28516,59640,2
11302,17027,17391,2
10179,24933,49287,2
10355,41085,66932,2
10092,46068,71212,2
9906,26644,49843,2
10039,42417,65135,2
9900,17022,25581,2
10405,24079,51546,2
10570,17765,18195,2
10927,18032,18443,2
11375,45307,74748,2
11609,16797,17390,2
10207,14637,20524,2
9889,15936,17035,2
10062,17473,41315,2
10322,16550,32576,2
10382,16742,33378,2
10408,16855,41280,2
10489,15176,15703,2
9959,26650,48727,2
10088,15987,17393,2
10666,17498,39302,2
10277,16675,34790,2
10239,15877,17180,2
10440,16400,39512,2
10355,38125,58812,2
10074,15819,25170,2
10338,16474,17875,2
10739,17150,25617,2
10954,41002,64236,2
11045,16470,17804,2
10952,16421,16951,2
10926,15483,31082,2
10605,14971,27264,2
10362,16468,28484,2
10410,16199,18040,2
10314,15962,17896,2
10720,16117,17772,2
10309,15822,16898,2
9962,14446,27570,2
9658,21201,46739,2
9891,38070,63140,2
11198,31652,56144,2
11175,32332,58040,2
10527,16889,28252,2
11142,16202,17514,2
11388,16160,31882,2
10564,15732,33545,2
10051,15890,17783,2
10567,23311,54798,2
10568,16466,33218,2
10700,16120,18427,2
11501,18254,40887,2
11762,15947,30928,2
11094,14281,41775,2
10721,18267,40822,2
10624,18297,32318,2
11586,17722,22957,2
11620,14704,16595,2
11563,16903,31970,2
12053,16874,25140,2
11227,15016,24873,2
