SystemLoad,Date,Hour
20698,2004-01-19,19
20372,2004-01-19,20
19598,2004-01-19,21
18346,2004-01-19,22
16820,2004-01-19,23
15393,2004-01-19,24
14429,2004-01-20,1
13980,2004-01-20,2
13858,2004-01-20,3
13868,2004-01-20,4
22180,2004-01-20,5
19900,2004-01-20,6
25291,2004-01-20,7
27815,2004-01-20,8
23095,2004-01-20,9
27237,2004-01-20,10
21153,2004-01-20,11
29032,2004-01-20,12
24179,2004-01-20,13
21368,2004-01-20,14
25629,2004-01-20,15
23350,2004-01-20,16
25475,2004-01-20,17
21712,2004-01-20,18
21118,2004-01-20,19
29361,2004-01-20,20
19974,2004-01-20,21
18742,2004-01-20,22
17199,2004-01-20,23
15665,2004-01-20,24
14743,2004-01-21,1
14300,2004-01-21,2
14075,2004-01-21,3
14139,2004-01-21,4
14414,2004-01-21,5
15627,2004-01-21,6
17921,2004-01-21,7
19135,2004-01-21,8
19221,2004-01-21,9
19129,2004-01-21,10
19025,2004-01-21,11
18742,2004-01-21,12
18410,2004-01-21,13
18176,2004-01-21,14
17901,2004-01-21,15
17912,2004-01-21,16
28563,2004-01-21,17
20961,2004-01-21,18
30190,2004-01-21,19
20191,2004-01-21,20
19516,2004-01-21,21
18407,2004-01-21,22
16780,2004-01-21,23
15374,2004-01-21,24
14493,2004-01-22,1
14061,2004-01-22,2
13840,2004-01-22,3
13744,2004-01-22,4
14016,2004-01-22,5
15187,2004-01-22,6
17433,2004-01-22,7
24495,2004-01-22,8
27702,2004-01-22,9
28402,2004-01-22,10
20833,2004-01-22,11
18827,2004-01-22,12
18509,2004-01-22,13
18248,2004-01-22,14
17924,2004-01-22,15
17927,2004-01-22,16
18682,2004-01-22,17
20055,2004-01-22,18
20057,2004-01-22,19
19663,2004-01-22,20
19045,2004-01-22,21
17935,2004-01-22,22
16362,2004-01-22,23
14977,2004-01-22,24
14177,2004-01-23,1
13809,2004-01-23,2
13674,2004-01-23,3
13712,2004-01-23,4
14067,2004-01-23,5
15289,2004-01-23,6
17639,2004-01-23,7
18973,2004-01-23,8
19181,2004-01-23,9
19219,2004-01-23,10
19244,2004-01-23,11
19138,2004-01-23,12
18909,2004-01-23,13
18747,2004-01-23,14
18524,2004-01-23,15
18571,2004-01-23,16
19249,2004-01-23,17
20666,2004-01-23,18
20655,2004-01-23,19
20148,2004-01-23,20
19539,2004-01-23,21
18665,2004-01-23,22
17424,2004-01-23,23
16095,2004-01-23,24
15163,2004-01-24,1
14662,2004-01-24,2
14415,2004-01-24,3
14302,2004-01-24,4
14378,2004-01-24,5
14805,2004-01-24,6
15665,2004-01-24,7
16614,2004-01-24,8
17774,2004-01-24,9
18511,2004-01-24,10
18666,2004-01-24,11
18416,2004-01-24,12
17959,2004-01-24,13
17518,2004-01-24,14
17244,2004-01-24,15
17278,2004-01-24,16
18092,2004-01-24,17
19717,2004-01-24,18
19852,2004-01-24,19
19448,2004-01-24,20
18964,2004-01-24,21
18274,2004-01-24,22
17262,2004-01-24,23
16246,2004-01-24,24
15457,2004-01-25,1
15022,2004-01-25,2
14825,2004-01-25,3
14745,2004-01-25,4
14796,2004-01-25,5
15094,2004-01-25,6
15680,2004-01-25,7
16352,2004-01-25,8
17350,2004-01-25,9
18023,2004-01-25,10
18291,2004-01-25,11
18301,2004-01-25,12
18119,2004-01-25,13
17753,2004-01-25,14
17833,2004-01-25,15
20612,2004-01-25,16
20700,2004-01-25,17
27010,2004-01-25,18
26137,2004-01-25,19
20132,2004-01-25,20
19465,2004-01-25,21
18366,2004-01-25,22
16983,2004-01-25,23
15774,2004-01-25,24
14986,2004-01-26,1
14645,2004-01-26,2
14551,2004-01-26,3
14572,2004-01-26,4
14926,2004-01-26,5
16165,2004-01-26,6
18563,2004-01-26,7
19935,2004-01-26,8
20153,2004-01-26,9
20146,2004-01-26,10
20090,2004-01-26,11
19906,2004-01-26,12
19653,2004-01-26,13
19397,2004-01-26,14
19149,2004-01-26,15
19221,2004-01-26,16
20070,2004-01-26,17
21516,2004-01-26,18
26693,2004-01-26,19
29780,2004-01-26,20
29374,2004-01-26,21
28044,2004-01-26,22
18427,2004-01-26,23
15853,2004-01-26,24
14903,2004-01-27,1
14467,2004-01-27,2
14298,2004-01-27,3
15549,2004-01-27,4
16900,2004-01-27,5
22104,2004-01-27,6
24655,2004-01-27,7
24085,2004-01-27,8
28409,2004-01-27,9
21145,2004-01-27,10
19626,2004-01-27,11
19540,2004-01-27,12
19372,2004-01-27,13
19259,2004-01-27,14
19029,2004-01-27,15
19022,2004-01-27,16
19703,2004-01-27,17
21008,2004-01-27,18
20976,2004-01-27,19
20435,2004-01-27,20
19590,2004-01-27,21
18315,2004-01-27,22
16714,2004-01-27,23
15284,2004-01-27,24
14373,2004-01-28,1
13928,2004-01-28,2
13715,2004-01-28,3
13644,2004-01-28,4
13914,2004-01-28,5
14928,2004-01-28,6
16865,2004-01-28,7
18147,2004-01-28,8
18644,2004-01-28,9
22142,2004-01-28,10
26677,2004-01-28,11
29221,2004-01-28,12
19747,2004-01-28,13
25777,2004-01-28,14
23272,2004-01-28,15
28777,2004-01-28,16
29340,2004-01-28,17
28560,2004-01-28,18
26959,2004-01-28,19
20041,2004-01-28,20
19292,2004-01-28,21
18031,2004-01-28,22
16316,2004-01-28,23
14875,2004-01-28,24
13977,2004-01-29,1
13602,2004-01-29,2
13447,2004-01-29,3
20082,2004-01-29,4
15428,2004-01-29,5
21606,2004-01-29,6
24533,2004-01-29,7
20261,2004-01-29,8
24082,2004-01-29,9
20000,2004-01-29,10
23280,2004-01-29,11
18620,2004-01-29,12
18466,2004-01-29,13
18342,2004-01-29,14
18254,2004-01-29,15
18192,2004-01-29,16
18873,2004-01-29,17
20470,2004-01-29,18
20720,2004-01-29,19
20409,2004-01-29,20
19781,2004-01-29,21
18663,2004-01-29,22
17001,2004-01-29,23
15464,2004-01-29,24
14622,2004-01-30,1
14242,2004-01-30,2
14057,2004-01-30,3
14017,2004-01-30,4
14329,2004-01-30,5
15507,2004-01-30,6
17795,2004-01-30,7
19087,2004-01-30,8
19239,2004-01-30,9
19179,2004-01-30,10
19064,2004-01-30,11
18786,2004-01-30,12
18475,2004-01-30,13
18258,2004-01-30,14
17926,2004-01-30,15
17880,2004-01-30,16
18466,2004-01-30,17
19837,2004-01-30,18
19936,2004-01-30,19
19429,2004-01-30,20
18840,2004-01-30,21
17931,2004-01-30,22
16617,2004-01-30,23
15322,2004-01-30,24
14348,2004-01-31,1
13843,2004-01-31,2
13625,2004-01-31,3
13571,2004-01-31,4
13699,2004-01-31,5
14138,2004-01-31,6
15013,2004-01-31,7
15963,2004-01-31,8
17095,2004-01-31,9
17710,2004-01-31,10
17806,2004-01-31,11
23053,2004-01-31,12
23617,2004-01-31,13
24502,2004-01-31,14
21275,2004-01-31,15
16417,2004-01-31,16
17026,2004-01-31,17
18645,2004-01-31,18
18779,2004-01-31,19
18436,2004-01-31,20
17912,2004-01-31,21
17165,2004-01-31,22
16097,2004-01-31,23
14982,2004-01-31,24
14145,2004-02-01,1
13643,2004-02-01,2
13447,2004-02-01,3
13330,2004-02-01,4
13400,2004-02-01,5
13676,2004-02-01,6
14288,2004-02-01,7
14930,2004-02-01,8
15850,2004-02-01,9
16444,2004-02-01,10
16648,2004-02-01,11
16719,2004-02-01,12
16547,2004-02-01,13
16228,2004-02-01,14
16437,2004-02-01,15
20352,2004-02-01,16
18981,2004-02-01,17
18122,2004-02-01,18
17982,2004-02-01,19
17270,2004-02-01,20
16890,2004-02-01,21
16224,2004-02-01,22
15397,2004-02-01,23
14529,2004-02-01,24
13494,2004-02-02,1
12980,2004-02-02,2
12859,2004-02-02,3
12928,2004-02-02,4
13265,2004-02-02,5
14473,2004-02-02,6
16782,2004-02-02,7
18082,2004-02-02,8
18248,2004-02-02,9
